date,geoid,incidI,incidH,incidD,hosp_curr
2020-01-01,1,0,0,0,0
2020-01-02,1,0,0,0,0
2020-01-03,1,0,0,0,0
2020-01-04,1,0,0,0,0
2020-01-05,1,0,0,0,0
2020-01-06,1,0,0,0,0
2020-01-07,1,0,0,0,0
2020-01-08,1,0,0,0,0
2020-01-09,1,0,0,0,0
2020-01-10,1,0,0,0,0
2020-01-11,1,0,0,0,0
2020-01-12,1,0,0,0,0
2020-01-13,1,0,0,0,0
2020-01-14,1,0,0,0,0
2020-01-15,1,0,0,0,0
2020-01-16,1,1,0,0,0
2020-01-17,1,2,0,0,0
2020-01-18,1,2,0,0,0
2020-01-19,1,2,0,0,0
2020-01-20,1,1,0,0,0
2020-01-21,1,1,0,0,0
2020-01-22,1,0,0,0,0
2020-01-23,1,1,0,0,0
2020-01-24,1,2,0,0,0
2020-01-25,1,1,0,0,0
2020-01-26,1,0,1,0,1
2020-01-27,1,2,0,0,1
2020-01-28,1,2,0,0,1
2020-01-29,1,3,0,0,1
2020-01-30,1,2,1,0,2
2020-01-31,1,3,0,0,2
2020-02-01,1,1,0,0,2
2020-02-02,1,3,0,0,2
2020-02-03,1,2,0,0,2
2020-02-04,1,4,0,0,2
2020-02-05,1,5,0,0,2
2020-02-06,1,7,0,0,1
2020-02-07,1,5,0,0,1
2020-02-08,1,8,0,0,1
2020-02-09,1,5,0,0,1
2020-02-10,1,8,0,0,0
2020-02-11,1,7,1,0,1
2020-02-12,1,6,1,0,2
2020-02-13,1,4,0,0,2
2020-02-14,1,9,1,0,3
2020-02-15,1,12,0,0,3
2020-02-16,1,10,1,1,4
2020-02-17,1,7,0,0,4
2020-02-18,1,13,0,0,4
2020-02-19,1,12,0,0,4
2020-02-20,1,14,1,0,5
2020-02-21,1,14,2,0,7
2020-02-22,1,18,2,0,8
2020-02-23,1,18,1,0,8
2020-02-24,1,24,0,0,8
2020-02-25,1,22,1,0,8
2020-02-26,1,34,2,0,10
2020-02-27,1,17,2,0,11
2020-02-28,1,21,2,0,13
2020-02-29,1,24,0,0,13
2020-03-01,1,27,5,0,18
2020-03-02,1,28,2,0,19
2020-03-03,1,45,3,0,20
2020-03-04,1,44,2,0,20
2020-03-05,1,40,1,0,20
2020-03-06,1,52,3,0,23
2020-03-07,1,55,3,0,25
2020-03-08,1,51,1,0,24
2020-03-09,1,65,4,0,26
2020-03-10,1,57,3,0,27
2020-03-11,1,71,2,0,29
2020-03-12,1,79,2,0,26
2020-03-13,1,86,6,1,30
2020-03-14,1,87,3,0,30
2020-03-15,1,80,5,1,33
2020-03-16,1,98,11,1,43
2020-03-17,1,109,5,0,45
2020-03-18,1,131,5,1,47
2020-03-19,1,115,9,0,55
2020-03-20,1,151,12,1,63
2020-03-21,1,153,12,0,72
2020-03-22,1,155,9,0,79
2020-03-23,1,150,12,0,89
2020-03-24,1,185,13,0,96
2020-03-25,1,208,10,0,103
2020-03-26,1,229,11,0,109
2020-03-27,1,208,22,1,120
2020-03-28,1,182,8,0,123
2020-03-29,1,137,16,1,134
2020-03-30,1,156,16,0,141
2020-03-31,1,137,17,0,146
2020-04-01,1,151,20,0,154
2020-04-02,1,134,22,2,167
2020-04-03,1,130,27,1,182
2020-04-04,1,131,18,2,187
2020-04-05,1,123,8,1,185
2020-04-06,1,129,24,0,198
2020-04-07,1,130,20,0,196
2020-04-08,1,119,17,1,205
2020-04-09,1,119,17,0,206
2020-04-10,1,104,19,1,209
2020-04-11,1,119,12,0,204
2020-04-12,1,106,12,1,196
2020-04-13,1,110,5,2,179
2020-04-14,1,110,16,1,168
2020-04-15,1,109,9,3,159
2020-04-16,1,110,12,0,163
2020-04-17,1,104,11,1,150
2020-04-18,1,91,9,2,139
2020-04-19,1,98,7,2,129
2020-04-20,1,89,15,7,127
2020-04-21,1,87,10,2,118
2020-04-22,1,90,5,0,111
2020-04-23,1,101,10,1,109
2020-04-24,1,74,9,3,113
2020-04-25,1,78,12,1,109
2020-04-26,1,66,6,2,106
2020-04-27,1,71,9,0,103
2020-04-28,1,80,9,0,101
2020-04-29,1,68,8,2,100
2020-04-30,1,68,12,1,105
2020-05-01,1,67,6,3,96
2020-05-02,1,67,10,2,96
2020-05-03,1,63,6,1,97
2020-05-04,1,54,2,1,89
2020-05-05,1,64,3,1,83
2020-05-06,1,56,9,0,80
2020-05-07,1,58,8,3,82
2020-05-08,1,67,6,2,79
2020-05-09,1,72,13,0,83
2020-05-10,1,54,5,1,80
2020-05-11,1,45,5,1,73
